Common_Code,Diagnosis
X832,Intentional self-harm by exposure to extremes of cold
X838,Intentional self-harm by other specified means
X920,Assault by drowning and submersion while in bathtub
X921,Assault by drowning and submersion while in swimming pool
X922,Assault by drowning and submersion after push into swimming pool
X923,Assault by drowning and submersion in natural water
X928,Other assault by drowning and submersion
X929,"Assault by drowning and submersion, unspecified"
X93,Assault by handgun discharge
X940,Assault by shotgun
X941,Assault by hunting rifle
X942,Assault by machine gun
X948,Assault by other larger firearm discharge
X949,Assault by unspecified larger firearm discharge
X958,Assault by other firearm discharge
X959,Assault by unspecified firearm discharge
X960,Assault by antipersonnel bomb
X961,Assault by gasoline bomb
X962,Assault by letter bomb
X963,Assault by fertilizer bomb
X964,Assault by pipe bomb
X968,Assault by other specified explosive
X969,Assault by unspecified explosive
X97,"Assault by smoke, fire and flames"
X980,Assault by steam or hot vapors
X981,Assault by hot tap water
X982,Assault by hot fluids
X983,Assault by hot household appliances
X988,Assault by other hot objects
X989,Assault by unspecified hot objects
X990,Assault by sharp glass
X991,Assault by knife
X992,Assault by sword or dagger
X998,Assault by other sharp object
X999,Assault by unspecified sharp object
Y00,Assault by blunt object
Y01,Assault by pushing from high place
Y020,Assault by pushing or placing victim in front of motor vehicle
Y021,Assault by pushing or placing victim in front of (subway) train
Y028,Assault by pushing or placing victim in front of other moving object
Y030,Assault by being hit or run over by motor vehicle
Y038,Other assault by crashing of motor vehicle
Y040,Assault by unarmed brawl or fight
Y041,Assault by human bite
Y042,Assault by strike against or bumped into by another person
Y048,Assault by other bodily force
Y070,"Spouse or partner, perpetrator of maltreatment and neglect"
Y071,"Parent (adoptive) (biological), perpetrator of maltreatment and neglect"
Y075,"Non-family member, perpetrator of maltreatment and neglect"
Y079,Unspecified perpetrator of maltreatment and neglect
Y09,Assault by unspecified means
Y210,"Drowning and submersion while in bathtub, undetermined intent"
Y211,"Drowning and submersion after fall into bathtub, undetermined intent"
Y212,"Drowning and submersion while in swimming pool, undetermined intent"
Y213,"Drowning and submersion after fall into swimming pool, undetermined intent"
Y214,"Drowning and submersion in natural water, undetermined intent"
Y218,"Other drowning and submersion, undetermined intent"
Y219,"Unspecified drowning and submersion, undetermined intent"
Y22,"Handgun discharge, undetermined intent"
Y230,"Shotgun discharge, undetermined intent"
Y231,"Hunting rifle discharge, undetermined intent"
Y232,"Military firearm discharge, undetermined intent"
Y233,"Machine gun discharge, undetermined intent"
Y238,"Other larger firearm discharge, undetermined intent"
Y239,"Unspecified larger firearm discharge, undetermined intent"
Y240,"Airgun discharge, undetermined intent"
Y248,"Other firearm discharge, undetermined intent"
Y249,"Unspecified firearm discharge, undetermined intent"
Y25,"Contact with explosive material, undetermined intent"
Y26,"Exposure to smoke, fire and flames, undetermined intent"
Y270,"Contact with steam and hot vapors, undetermined intent"
Y271,"Contact with hot tap water, undetermined intent"
Y272,"Contact with hot fluids, undetermined intent"
Y273,"Contact with hot household appliance, undetermined intent"
Y278,"Contact with other hot objects, undetermined intent"
Y279,"Contact with unspecified hot objects, undetermined intent"
Y280,"Contact with sharp glass, undetermined intent"
Y281,"Contact with knife, undetermined intent"
Y282,"Contact with sword or dagger, undetermined intent"
Y288,"Contact with other sharp object, undetermined intent"
Y289,"Contact with unspecified sharp object, undetermined intent"
Y29,"Contact with blunt object, undetermined intent"
Y30,"Falling, jumping or pushed from a high place, undetermined intent"
Y31,"Falling, lying or running before or into moving object, undetermined intent"
Y32,"Crashing of motor vehicle, undetermined intent"
Y33,"Other specified events, undetermined intent"
Y62,Failure of sterile precautions during surgical and medical care
Y63,Failure in dosage during surgical and medical care
Y64,Contaminated medical or biological substances
Y65,Other misadventures during surgical and medical care
Y655,Performance of wrong procedure (operation)
Y658,Other specified misadventures during surgical and medical care
Y66,Nonadministration of surgical and medical care
Y69,Unspecified misadventure during surgical and medical care
Y70,Anesthesiology devices associated with adverse incidents
Y71,Cardiovascular devices associated with adverse incidents
Y72,Otorhinolaryngological devices associated with adverse incidents
Y73,Gastroenterology and urology devices associated with adverse incidents
Y74,General hospital and personal-use devices associated with adverse incidents
Y75,Neurological devices associated with adverse incidents
Y76,Obstetric and gynecological devices associated with adverse incidents
Y77,Ophthalmic devices associated with adverse incidents
Y78,Radiological devices associated with adverse incidents
Y79,Orthopedic devices associated with adverse incidents
Y80,Physical medicine devices associated with adverse incidents
Y81,General- and plastic-surgery devices associated with adverse incidents
Y82,Other and unspecified medical devices associated with adverse incidents
Y83,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y84,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y90,Evidence of alcohol involvement determined by blood alcohol level
Y921,Institutional (nonprivate) residence as the place of occurrence of the external cause
